OP section;Wavelength (nm);"FoV_Y ("")";"FoV_X ("")";FoV Comment;"required d ("")";""" Comment";SIS Instrument;SIS COMMENT;N;N Comment;R;R Comment;BP (nm);BP Comment;SNR;SNR Comment;Cadence (s);Cadence Comment;tint (s);tint (s) Comment;T continuum;T continuum comment;T core;T core comment;REQ?;Duration of observation (h);Polarimetry
1.8.1;854;60.0;60;Goal 120x120;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;;;Not Mentioned, please provide;;N/A;;N/A;False;Not mentioned;False
1.8.1;1082;5.0;5;;0.1;0.05;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;500;Goal 1000;30;Goal 10;3;;0;;0.001;;False;Not mentioned;True
1.8.1;1083;5.0;5;;0.1;0.05;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;500;Goal 1000;30;Goal 10;3;;0;;0.001;;False;Not mentioned;True
1.8.1;1565;5.0;5;;0.1;0.05;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;500;Goal 1000;30;Goal 10;3;;0;;0;;True;Not mentioned;True
2.1.1;430;50.0;50;Goal 80x80;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;200;;1;;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
2.1.1;589;40.0;40;Goal 50x50;0.05;;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;200;;2;Goal 1s;0.2;Not mentioned, estimated from N and cadence;0.0006;;0.0122;;True;Not mentioned;True
2.1.1;617;10.0;10;Goal 20x20;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;Goal 2000;2;Goal 1;2;;0.065;;0.2497;;True;Not mentioned;True
2.1.1;630;10.0;10;Goal 20x20;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;Goal 2000;2;Goal 1;2;;0.0638;;0.2322;;True;Not mentioned;True
2.1.2;430;50.0;50;Goal 80x80;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;200;;1;;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
2.1.2;617;10.0;10;Goal 20x20;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;Goal 2000;2;Goal 1;2;;0.065;;0.2497;;True;Not mentioned;True
2.1.2;630;10.0;10;Goal 20x20;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;Goal 2000;2;Goal 1;2;;0.0638;;0.2322;;True;Not mentioned;True
2.1.2;630;40.0;40;Goal 50x50;0.05;;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;10;Goal 5s;1;Not mentioned, estimated from N and cadence;0.0006;;0.0023;;True;Not mentioned;True
2.1.2;656;40.0;40;Goal 50x50;0.05;;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;10;Goal 5s;1;Not mentioned, estimated from N and cadence;0.0007;;0.0038;;True;Not mentioned;True
2.1.2;854;40.0;40;Goal 50x50;-1.0;0.05 is DL at the requested wavelength;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;10;Goal 5s;1;Not mentioned, estimated from N and cadence;0.0006;;0.0029;;True;Not mentioned;True
2.1.2;1083;10.0;10;Goal 20x20;-1.0;;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;Goal 2000;2;Goal 1;2;;0.014;;0.046;;True;Not mentioned;True
2.1.3;396;50.0;50;Goal 80x80;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;200;;1;Goal is 0,5s;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
2.1.3;656;50.0;50;Goal 80x80;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;200;;1;Goal is 0,5s;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
2.1.3;854;10.0;10;Goal 20x20;-1.0;;IFS-M;;133;SIS&SAG Check;70000;;0.57;Doppler velocities +/-100km-1 for NBI;1000;Goal 2000;5;Goal 3;5;;0.0061;;0.0295;;True;Not mentioned;True
2.1.3;854;40.0;40;Goal 50x50;-1.0;0.05 is DL at the requested wavelength;TIS;;10;SIS&SAG Check;50000;;0.57;Doppler velocities +/-100km-1 for NBI;500;;10;Goal 5s;1;Not mentioned, estimated from N and cadence;0.0006;;0.0029;;True;Not mentioned;True
2.1.3;1083;10.0;10;Goal 20x20;-1.0;;IFS-S;;285;SIS&SAG Check;150000;Doppler velocities +/-100km-1 for NBI;0.72;Doppler velocities +/-100km-1 for NBI;1000;Goal 2000;5;Goal 3;5;;0.006;;0.018;;True;Not mentioned;True
2.1.4;396;10.0;10;Goal 20x20;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;;2;;;Not Mentioned, please provide;0.3731;;11.7074;;True;Not mentioned;True
2.1.4;630;10.0;10;Goal 20x20;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;;2;;;Not Mentioned, please provide;0.0638;;0.2322;;True;Not mentioned;True
2.1.4;854;10.0;10;Goal 20x20;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;;2;;;Not Mentioned, please provide;0.0324;;0.1579;;True;Not mentioned;True
2.2.1;396;10.0;10;Goal 20x20;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;;2;;;Not Mentioned, please provide;0.3731;;11.7074;;True;Not mentioned;True
2.2.1;630;10.0;10;Goal 20x20;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;;2;;;Not Mentioned, please provide;0.0638;;0.2322;;True;Not mentioned;True
2.2.1;854;10.0;10;Goal 20x20;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;;2;;;Not Mentioned, please provide;0.0324;;0.1579;;True;Not mentioned;True
2.2.1;1083;10.0;10;Goal 20x20;-1.0;;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;;2;;;Not Mentioned, please provide;0.014;;0.046;;True;Not mentioned;True
2.2.2;396;40.0;40;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;200;;1;;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
2.2.2;430;40.0;40;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;200;;1;;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
2.2.2;630;30.0;30;;0.05;;TIS;;5;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;300;;2;Goal 1s;0.4;Not mentioned, estimated from N and cadence;0.0006;;0.0021;;True;Not mentioned;True
2.2.2;656;30.0;30;;0.05;;TIS;;5;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;300;;2;Goal 1s;0.4;Not mentioned, estimated from N and cadence;0.0006;;0.0034;;True;Not mentioned;True
2.2.2;854;30.0;30;;-1.0;0.05 is DL at the requested wavelength;TIS;;5;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;300;;2;Goal 1s;0.4;Not mentioned, estimated from N and cadence;0.0005;;0.0026;;True;Not mentioned;True
2.2.3;430;10.0;10;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;1000;;1.5;;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
2.2.3;630;10.0;10;;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;;1.5;;;Not Mentioned, please provide;0.085;;0.3096;;True;Not mentioned;True
2.2.4;388;40.0;40;Goal 90x90;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;2;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;False;Not mentioned;False
2.2.4;396;10.0;10;;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;Goal 2000;1;;;Not Mentioned, please provide;0.7462;;23.4147;;False;Not mentioned;True
2.2.4;396;40.0;40;Goal 90x90;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;2;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
2.2.4;430;40.0;40;Goal 90x90;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;2;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
2.2.4;517;10.0;10;;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;Goal 2000;1;;;Not Mentioned, please provide;0.1681;;2.396;;True;Not mentioned;True
2.2.4;525;10.0;10;;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;Goal 2000;1;;;Not Mentioned, please provide;0.1563;;0.8;;True;Not mentioned;True
2.2.4;630;10.0;10;;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;Goal 2000;1;;;Not Mentioned, please provide;0.1275;;0.4644;;True;Not mentioned;True
2.2.4;630;40.0;40;Goal 90x90;-1.0;;TIS;;10;Goal 31;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;20;Goal 10s;2;Not mentioned, estimated from N and cadence;0.0005;;0.0019;;True;Not mentioned;False
2.2.4;709;40.0;40;Goal 90x90;-1.0;;TIS;;10;Goal 31;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;20;Goal 10s;2;Not mentioned, estimated from N and cadence;0.0026;;0.0055;;True;Not mentioned;False
2.2.4;854;10.0;10;;-1.0;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;Goal 2000;1;;;Not Mentioned, please provide;0.0649;;0.3157;;True;Not mentioned;True
2.2.4;854;40.0;40;Goal 90x90;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;2;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;False;Not mentioned;False
2.2.4;854;40.0;40;Goal 90x90;-1.0;;TIS;;10;Goal 31;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;20;Goal 10s;2;Not mentioned, estimated from N and cadence;0.0027;;0.0132;;True;Not mentioned;False
2.2.4;1082;10.0;10;;-1.0;;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;Goal 2000;1;;;Not Mentioned, please provide;0.028;;0.092;;False;Not mentioned;True
2.2.4;1083;10.0;10;;-1.0;;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;Goal 2000;1;;;Not Mentioned, please provide;0.028;;0.092;;False;Not mentioned;True
2.2.4;1565;10.0;10;;-1.0;;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;1000;Goal 2000;1;;;Not Mentioned, please provide;0.033;;0.047;;True;Not mentioned;True
2.3.1;455;40.0;40;Goal 60x60;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;20;;2;Not mentioned, estimated from N and cadence;0.0005;;0.0055;;True;Not mentioned;False
2.3.1;543;40.0;40;Goal 60x60;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;20;;2;Not mentioned, estimated from N and cadence;0.0004;;0.003;;True;Not mentioned;False
2.3.1;557;40.0;40;Goal 60x60;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;20;;2;Not mentioned, estimated from N and cadence;0.0004;;0.0004;;True;Not mentioned;False
2.3.1;656;40.0;40;Goal 60x60;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;20;;2;Not mentioned, estimated from N and cadence;0.0003;;0.0019;;True;Not mentioned;False
2.3.1;709;40.0;40;Goal 60x60;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;20;;2;Not mentioned, estimated from N and cadence;0.0003;;0.0006;;True;Not mentioned;False
2.3.1;769;40.0;40;Goal 60x60;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;20;;2;Not mentioned, estimated from N and cadence;0.0003;;0.0017;;True;Not mentioned;False
2.3.1;854;40.0;40;Goal 60x60;-1.0;0.05 is DL at the requested wavelength;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;;45;;2;;0.0145;;0.0704;;True;Not mentioned;True
2.3.1;1083;40.0;40;Goal 60x60;-1.0;;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;;45;;2;;0.057;;0.183;;True;Not mentioned;True
2.3.1;1565;40.0;40;Goal 60x60;-1.0;;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;;45;;2;;0.066;;0.093;;True;Not mentioned;True
2.3.2;396;30.0;30;;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;80000;;;Not mentioned, Please provide;200;;30;Goal 15s;3;;0.0002;;0.0058;;True;Not mentioned;False
2.3.2;455;30.0;30;;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;80000;;;Not mentioned, Please provide;200;;30;Goal 15s;3;;0.0001;;0.0009;;True;Not mentioned;False
2.3.2;656;30.0;30;;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;80000;;;Not mentioned, Please provide;200;;30;Goal 15s;3;;0.0001;;0.0003;;True;Not mentioned;False
2.3.2;769;30.0;30;;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;80000;;;Not mentioned, Please provide;200;;30;Goal 15s;3;;0;;0.0003;;True;Not mentioned;False
2.3.2;854;10.0;10;Goal 40x40;-1.0;0.05 is DL at the requested wavelength;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;;2;;3;;0.0096;;0.0469;;True;Not mentioned;True
2.3.2;1082;10.0;10;Goal 40x40;-1.0;;IFS-S;Was a TIS;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;;2;;3;;0.038;;0.122;;True;Not mentioned;True
2.3.2;1083;10.0;10;Goal 40x40;-1.0;;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;;2;;3;;0.038;;0.122;;True;Not mentioned;True
2.3.2;1565;10.0;10;Goal 40x40;-1.0;;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;;2;;3;;0.044;;0.062;;True;Not mentioned;True
2.3.3;525;10.0;30;Goal 20x60;0.08;;IFS-M;;;Depends on BP should be known;100000;;;Not mentioned, Please provide;1000;Goal 2000;5;;1;;0.0025;;0.0126;;True;Not mentioned;True
2.3.3;617;10.0;30;Goal 20x60;0.08;;IFS-M;;;Depends on BP should be known;100000;;;Not mentioned, Please provide;1000;Goal 2000;5;;1;;0.002;;0.0078;;True;Not mentioned;True
2.3.3;630;10.0;30;Goal 20x60;0.08;;IFS-M;;;Depends on BP should be known;100000;;;Not mentioned, Please provide;1000;Goal 2000;5;;1;;0.002;;0.0073;;True;Not mentioned;True
2.3.3;854;10.0;30;Goal 20x60;0.08;;IFS-M;;;Depends on BP should be known;100000;;;Not mentioned, Please provide;1000;Goal 2000;5;;1;;0.0019;;0.0092;;True;Not mentioned;True
2.3.3;1083;10.0;30;Goal 20x60;0.08;;IFS-S;;;Depends on BP should be known;100000;;;Not mentioned, Please provide;1000;Goal 2000;5;;1;;0.002;;0.006;;True;Not mentioned;True
2.3.3;1565;10.0;30;Goal 20x60;-1.0;0.08 is DL at the requested wavelength;IFS-S;;;Depends on BP should be known;100000;;;Not mentioned, Please provide;1000;Goal 2000;5;;1;;0.002;;0.003;;True;Not mentioned;True
2.3.4;543;40.0;40;Goal 60x60;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;100000;;;Not mentioned, Please provide;500;Goal 5000;60;Goal 30s;2;;0.0008;;0.006;;True;Not mentioned;False
2.3.4;630;40.0;40;Goal 60x60;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;100000;;;Not mentioned, Please provide;500;Goal 5000;60;Goal 30s;2;;0.0006;;0.0023;;True;Not mentioned;False
2.3.4;709;40.0;40;Goal 60x60;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;100000;;;Not mentioned, Please provide;500;Goal 5000;60;Goal 30s;2;;0.0006;;0.0012;;True;Not mentioned;False
2.3.4;769;40.0;40;Goal 60x60;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;100000;;;Not mentioned, Please provide;500;Goal 5000;60;Goal 30s;2;;0.0006;;0.0035;;True;Not mentioned;False
2.3.4;854;40.0;40;Goal 60x60;-1.0;0.05 is DL at the requested wavelength;TIS;;10;Not provided, minimum 10 samples from req. Adopted;100000;;;Not mentioned, Please provide;500;Goal 5000;60;Goal 30s;2;;0.0006;;0.0029;;True;Not mentioned;False
2.3.4;854;40.0;40;Goal 60x60;-1.0;0.05 is DL at the requested wavelength;IFS-M;;;Depends on BP should be known;120000;;;Not mentioned, Please provide;1000;Goal 2000;60;;2;;0.0029;;0.0141;;True;Not mentioned;True
2.3.4;1083;40.0;40;Goal 60x60;-1.0;;IFS-S;;;Depends on BP should be known;120000;;;Not mentioned, Please provide;1000;Goal 2000;60;;2;;0.011;;0.037;;True;Not mentioned;True
2.3.4;1565;40.0;40;Goal 60x60;-1.0;;IFS-S;;;Depends on BP should be known;120000;;;Not mentioned, Please provide;1000;Goal 2000;60;;2;;0.013;;0.019;;True;Not mentioned;True
2.3.5;430;10.0;10;;0.08;;IFS-M;Most likely BBI;;Depends on BP should be known;150000;;;Not mentioned, Please provide;800;;1;Goal 0,1s;1;;0.0036;;0.0591;;True;Not mentioned;False
2.3.5;430;10.0;10;;0.08;;FBI;;;N/A;;N/A;;TBD, please provide;800;;1;;1;;;N/A;;N/A;True;Not mentioned;False
2.3.5;589;10.0;10;;0.08;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;800;;1;Goal 0,1s;1;;0.0021;;0.0459;;True;Not mentioned;True
2.3.5;1565;10.0;10;;-1.0;0.08 is DL at the requested wavelength;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;800;;1;Goal 0,1s;1;;0.002;;0.003;;True;Not mentioned;True
2.3.6;396;40.0;40;;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;300;;20;;3;;0.0003;;0.0082;;True;Not mentioned;True
2.3.6;455;40.0;40;;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;300;;20;;3;;0.0001;;0.0013;;True;Not mentioned;True
2.3.6;656;40.0;40;;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;300;;20;;3;;0.0001;;0.0005;;True;Not mentioned;True
2.3.6;769;40.0;40;;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;300;;20;;3;;0.0001;;0.0004;;True;Not mentioned;True
2.3.6;854;10.0;10;Goal 40x40;0.06;;IFS-M;;;Depends on BP should be known;100000;;;Not mentioned, Please provide;2000;;3;;3;;0.0045;;0.0217;;True;Not mentioned;True
2.3.6;1082;40.0;40;;-1.0;;IFS-S;Was a TIS;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;300;;20;;3;;0.001;;0.004;;True;Not mentioned;True
2.3.6;1083;10.0;10;Goal 40x40;0.06;;IFS-S;;;Depends on BP should be known;100000;;;Not mentioned, Please provide;2000;;3;;3;;0.004;;0.014;;True;Not mentioned;True
2.3.6;1565;10.0;10;Goal 40x40;-1.0;0.06 is DL for the target line;IFS-S;;;Depends on BP should be known;100000;;;Not mentioned, Please provide;2000;;3;;3;;0.005;;0.007;;True;Not mentioned;True
2.4.1;430;30.0;30;;0.05;;TIS;;;N/A;80000;;;TBD, please provide;300;Goal 500;3;;1;;0.0007;;0.0113;;True;Not mentioned;False
2.4.1;430;30.0;30;;0.05;;FBI;;;N/A;;N/A;;TBD, please provide;300;at least;3;;1;;;N/A;;N/A;True;Not mentioned;False
2.4.1;455;30.0;30;;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;80000;;;TBD, please provide;300;Goal 500;3;;1;;0.0006;;0.0064;;True;Not mentioned;False
2.4.1;455;30.0;30;;0.05;;FBI;;;N/A;;N/A;;TBD, please provide;300;at least;3;;1;;;N/A;;N/A;True;Not mentioned;False
2.4.1;543;30.0;30;;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;80000;;;TBD, please provide;300;Goal 500;3;;1;;0.0004;;0.0035;;True;Not mentioned;False
2.4.1;543;30.0;30;;0.05;;FBI;;;N/A;;N/A;;TBD, please provide;300;at least;3;;1;;;N/A;;N/A;True;Not mentioned;False
2.4.1;656;30.0;30;;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;80000;;;TBD, please provide;300;Goal 500;3;;1;;0.0004;;0.0022;;True;Not mentioned;False
2.4.1;656;30.0;30;;0.05;;FBI;;;N/A;;N/A;;TBD, please provide;300;at least;3;;1;;;N/A;;N/A;True;Not mentioned;False
2.4.1;709;30.0;30;;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;80000;;;TBD, please provide;300;Goal 500;3;;1;;0.0003;;0.0007;;True;Not mentioned;False
2.4.1;709;30.0;30;;0.05;;FBI;;;N/A;;N/A;;TBD, please provide;300;at least;3;;1;;;N/A;;N/A;True;Not mentioned;False
2.4.1;769;30.0;30;;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;80000;;;TBD, please provide;300;Goal 500;3;;1;;0.0003;;0.002;;True;Not mentioned;False
2.4.1;769;30.0;30;;0.05;;FBI;;;N/A;;N/A;;TBD, please provide;300;at least;3;;1;;;N/A;;N/A;True;Not mentioned;False
2.4.1;854;30.0;30;;0.06;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;Goal 3000;45;90;4;Goal 10s;0.005;;0.0245;;True;Not mentioned;True
2.4.1;1083;30.0;30;;0.06;;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;Goal 3000;45;90;4;Goal 10s;0.005;;0.015;;True;Not mentioned;True
2.4.1;1565;30.0;30;;-1.0;0.06 is DL for the target line;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;Goal 3000;45;90;4;Goal 10s;0.006;;0.008;;True;Not mentioned;True
2.4.2;396;20.0;20;Goal 40x40;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;20;Goal 6s;2;;0.0011;;0.034;;True;Not mentioned;True
2.4.2;455;20.0;20;Goal 40x40;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;20;Goal 6s;2;;0.0005;;0.0055;;True;Not mentioned;True
2.4.2;543;20.0;20;Goal 40x40;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;20;Goal 6s;2;;0.0004;;0.003;;True;Not mentioned;True
2.4.2;656;20.0;20;Goal 40x40;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;20;Goal 6s;2;;0.0003;;0.0019;;True;Not mentioned;True
2.4.2;709;20.0;20;Goal 40x40;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;20;Goal 6s;2;;0.0003;;0.0006;;True;Not mentioned;True
2.4.2;854;10.0;10;;0.06;;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;Goal 3000;4;;4;Goal 10s;0.005;;0.0245;;True;Not mentioned;True
2.4.2;1083;10.0;10;;0.06;;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;Goal 3000;4;;4;Goal 10s;0.005;;0.015;;True;Not mentioned;True
2.4.2;1565;10.0;10;;-1.0;0.06 is DL for the target line;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;Goal 3000;4;;4;Goal 10s;0.006;;0.008;;True;Not mentioned;True
2.4.3;455;40.0;40;Goal 60x60;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;30;;3;Not mentioned, estimated from N and cadence;0.0003;;0.0037;;True;Not mentioned;True
2.4.3;656;40.0;40;Goal 60x60;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;30;;3;Not mentioned, estimated from N and cadence;0.0002;;0.0013;;True;Not mentioned;True
2.4.3;709;40.0;40;Goal 60x60;0.05;;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;30;;3;Not mentioned, estimated from N and cadence;0.0002;;0.0004;;True;Not mentioned;True
2.4.3;854;40.0;40;Goal 60x60;-1.0;0.05 is DL at the requested wavelength;IFS-M;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;;50;;3;;0.0096;;0.0469;;True;Not mentioned;True
2.4.3;854;40.0;40;Goal 60x60;-1.0;0.05 is DL at the requested wavelength;TIS;;10;Not provided, minimum 10 samples from req. Adopted;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;Goal 1000;30;;3;Not mentioned, estimated from N and cadence;0.0002;;0.001;;True;Not mentioned;True
2.4.3;1082;40.0;40;Goal 60x60;-1.0;;IFS-S;Was a TIS;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;;50;;3;;0.038;;0.122;;True;Not mentioned;True
2.4.3;1083;40.0;40;Goal 60x60;-1.0;;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;;50;;3;;0.038;;0.122;;True;Not mentioned;True
2.4.3;1565;40.0;40;Goal 60x60;-1.0;;IFS-S;;;Depends on BP should be known;150000;;;Not mentioned, Please provide;2000;;50;;3;;0.044;;0.062;;True;Not mentioned;True
3.1.1;589;60.0;60;;0.2;Goal 0,1;IFS-M;Was SP;281;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;0.29;BP +/- 75 kms-1;10000;;10;;;Not Mentioned, please provide;0.0069;;0.1529;;True;Not mentioned;True
3.1.1;630;60.0;60;;0.2;Goal 0,1;IFS-M;Was SP;290;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;0.32;BP +/- 75 kms-1;10000;;10;;;Not Mentioned, please provide;0.0064;;0.0233;;True;Not mentioned;True
3.1.1;854;60.0;60;;0.2;Goal 0,1;IFS-M;Was SP;288;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;0.43;BP +/- 75 kms-1;10000;;10;;;Not Mentioned, please provide;0.006;;0.0293;;True;Not mentioned;True
